04-18 05:27:02.221: E/AndroidRuntime(512): FATAL EXCEPTION: main
04-18 05:27:02.221: E/AndroidRuntime(512): java.lang.NullPointerException
04-18 05:27:02.221: E/AndroidRuntime(512): 	at android.content.ContextWrapper.getResources(ContextWrapper.java:80)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at android.widget.Toast.<init>(Toast.java:89)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at android.widget.Toast.makeText(Toast.java:231)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at play.youtube.YouTubeDataUtil4.getSearchResult(YouTubeDataUtil4.java:25)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at play.youtube.PlaytubeSample4Activity$2.onClick(PlaytubeSample4Activity.java:54)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at android.view.View.performClick(View.java:2485)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at android.view.View$PerformClick.run(View.java:9080)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at android.os.Handler.handleCallback(Handler.java:587)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at android.os.Handler.dispatchMessage(Handler.java:92)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at android.os.Looper.loop(Looper.java:130)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at android.app.ActivityThread.main(ActivityThread.java:3683)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at java.lang.reflect.Method.invokeNative(Native Method)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at java.lang.reflect.Method.invoke(Method.java:507)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:839)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:597)
04-18 05:27:02.221: E/AndroidRuntime(512): 	at dalvik.system.NativeStart.main(Native Method)
04-18 05:30:53.662: E/AndroidRuntime(545): FATAL EXCEPTION: main
04-18 05:30:53.662: E/AndroidRuntime(545): java.lang.RuntimeException: Unable to start activity ComponentInfo{play.youtube/play.youtube.PlaytubeSample4Activity}: java.lang.RuntimeException: Your content must have a ListView whose id attribute is 'android.R.id.list'
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1647)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:1663)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.app.ActivityThread.access$1500(ActivityThread.java:117)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:931)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.os.Handler.dispatchMessage(Handler.java:99)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.os.Looper.loop(Looper.java:130)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.app.ActivityThread.main(ActivityThread.java:3683)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at java.lang.reflect.Method.invokeNative(Native Method)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at java.lang.reflect.Method.invoke(Method.java:507)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:839)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:597)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at dalvik.system.NativeStart.main(Native Method)
04-18 05:30:53.662: E/AndroidRuntime(545): Caused by: java.lang.RuntimeException: Your content must have a ListView whose id attribute is 'android.R.id.list'
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.app.ListActivity.onContentChanged(ListActivity.java:243)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at com.android.internal.policy.impl.PhoneWindow.setContentView(PhoneWindow.java:210)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.app.Activity.setContentView(Activity.java:1657)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at play.youtube.PlaytubeSample4Activity.onCreate(PlaytubeSample4Activity.java:69)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1047)
04-18 05:30:53.662: E/AndroidRuntime(545): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1611)
04-18 05:30:53.662: E/AndroidRuntime(545): 	... 11 more
