04-18 14:16:46.276: E/AndroidRuntime(2365): FATAL EXCEPTION: main
04-18 14:16:46.276: E/AndroidRuntime(2365): java.lang.RuntimeException: Unable to start activity ComponentInfo{play.youtube/play.youtube.PlaytubeSample7Activity}: java.lang.NullPointerException
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1647)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:1663)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at android.app.ActivityThread.access$1500(ActivityThread.java:117)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:931)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at android.os.Handler.dispatchMessage(Handler.java:99)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at android.os.Looper.loop(Looper.java:130)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at android.app.ActivityThread.main(ActivityThread.java:3683)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at java.lang.reflect.Method.invokeNative(Native Method)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at java.lang.reflect.Method.invoke(Method.java:507)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:839)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:597)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at dalvik.system.NativeStart.main(Native Method)
04-18 14:16:46.276: E/AndroidRuntime(2365): Caused by: java.lang.NullPointerException
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at play.youtube.PlaytubeSample7Activity.onCreate(PlaytubeSample7Activity.java:24)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1047)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1611)
04-18 14:16:46.276: E/AndroidRuntime(2365): 	... 11 more
